theta[1],theta[2],theta[3],theta[4],z_init[1],z_init[2],sigma[1],sigma[2],lp__
0.48846391761268737,0.024287726591654627,0.876694629003193,0.0247095546459889,35.8067791309514,5.316258736506505,0.22400438164401956,0.2413266715244837,-12.865722453917032
0.5722508080561796,0.029568249870685043,0.7311237688347038,0.023542846153202193,31.55725319204594,6.4889085201940535,0.23025407015226815,0.22661057469628665,-12.357373722340217
0.5660853835565599,0.027653402983861045,0.7541742535897797,0.022186656561963204,34.56560201390467,5.580064902331632,0.27716454486875236,0.23554881593207808,-12.996071156054514
0.5492608537374526,0.029093789778600807,0.7773553200953399,0.02419740095407516,33.908798262273436,5.948384208290217,0.22803849286564226,0.22137353859862738,-10.611308609156048
0.5497915563028081,0.026931799217871397,0.787614751962087,0.022123511828865888,35.15752421949835,5.934513093654839,0.2836350646499905,0.2206026095722487,-11.862583271238627
0.540577162848272,0.028187720038583084,0.7983237957446371,0.024317993515343098,32.723132299371485,5.906470817570763,0.2336220713469433,0.25486782154597964,-10.380334120186394
0.5044246242751876,0.026560095177862748,0.8141340396788703,0.02495619506508263,36.07735733143319,5.934536151264131,0.21346976454698333,0.21894175267227217,-11.209685032758802
0.5489673230130282,0.026138484560875332,0.7898238808397532,0.023034860088247403,36.191469005613115,5.889473810719923,0.19859863213990878,0.24261433166384633,-11.239264238783417
0.5328266503648144,0.02815475041252097,0.7899401903842781,0.02477630079344984,32.37720789776098,5.898640571279585,0.2075477087820823,0.28106187532403826,-11.978074414643839
0.5191480701054307,0.02423044210895293,0.8559792818272581,0.027172012357147345,30.442124413026445,6.1780270441636596,0.2582601915069114,0.2154071959056364,-11.918333655048425
0.49995876107188886,0.023907263359760077,0.8680842483816731,0.025131628566715886,35.80648417477384,5.302978562366764,0.20924334572203981,0.2645961029990113,-11.430287732071395
0.4351623755746211,0.02162118692611651,0.9900174220128525,0.032726544418458264,31.027492440076344,5.914506140246389,0.25482967518095934,0.2345104445847181,-12.872217777798394
0.48611212140870363,0.023669663456091665,0.9040642616769549,0.02836212045895787,31.932869974417823,5.813665733757738,0.24453430854260197,0.23634306604730587,-10.954939887097089
0.6008074643874473,0.031017409492276386,0.7176137738589226,0.021206679717034552,34.2382469419302,6.211422697071906,0.2278581219550476,0.2239658781699371,-10.201197004156036
0.5809968255465764,0.03083037533385963,0.7270461994570816,0.021915912377441338,35.073368499697466,6.245230083478268,0.231471926009879,0.24175257698912073,-10.713269344982336
0.5848395308551088,0.030752933524475886,0.726507760752299,0.021919731190527956,35.150790258824166,6.194283780855653,0.23211402957440228,0.24073579990390262,-10.746333654559002
0.5982354334074343,0.03201055747646378,0.7257045221472178,0.021277155953490244,34.76501543183845,5.370922005982822,0.23552999378198478,0.2036376396302549,-12.177176056538219
0.5339821816190847,0.02612510176038282,0.8163264746352508,0.023537403359903272,32.881477515321706,6.4841502421693,0.22860663208513718,0.27947147224360974,-13.041510983024436
0.597857643446942,0.031175589938186723,0.7356436787755143,0.02194903324161194,32.972514155687016,5.711490370267155,0.2802049728303641,0.17839909230616513,-12.682937606248098
0.613300562398447,0.03143479552193506,0.6929154087779711,0.01994173260682496,38.762863578460035,6.0766684940755855,0.19746781192313628,0.2773810773476829,-14.70070813077909
0.5280770832955668,0.026544551927666755,0.8313252768552434,0.02475917719545997,30.990171355829947,6.405620926239605,0.2199780990026211,0.22024013019318003,-13.651208864435603
0.5298301338073884,0.02637967409022933,0.7935019223183744,0.025721488074920355,34.63817990224462,5.9593219096098835,0.21851082061001076,0.23537153901974356,-12.837674471628748
0.5280377425977855,0.027148779455974378,0.8034182480543921,0.024381762509708433,33.38535255313526,5.856721426049085,0.2217727086109623,0.24182273302993246,-10.485808248547865
0.5761921068350057,0.028856311472322975,0.7492221653275493,0.02198017380345303,34.03110190001895,6.3018328317535905,0.28989324532277005,0.17933545143508106,-12.764514916508986
0.5712206978827246,0.0300221422563201,0.7582569289458898,0.022562694929799072,33.51005508102735,5.901450194677758,0.17111459970836224,0.2908841060940759,-12.806946468684178
